authors,bestsellers_rank,categories,format,id,lang,rating_avg,title
[14],7004,"[3223, 700, 1521, 2820]",1,9781451636024,en,3.92,Waking Up : A Guide to Spirituality Without Religion
[34],4804,"[663, 865, 891, 945, 2759, 981, 982, 984, 986, 1530, 1709]",1,9780241300756,en,3.68,The Fourth Industrial Revolution
"[412, 413]",8055,"[783, 3328, 809, 3354, 833, 3378, 2797]",1,9780756625054,en,3.97,How to Raise an Amazing Child the Montessori Way
[664],4947,[2452],1,9781786646330,en,NA,Adult Jigsaw Puzzle Moomin: A Dangerous Journey : 1000-piece Jigsaw Puzzles
[1391],4157,"[790, 3335, 823, 3368, 833, 3378]",1,9781138022522,en,4.5,Commonsense Methods for Children with Special Educational Needs
[1445],9474,"[1532, 1541]",2,9780241235966,en,3.97,Seven Brief Lessons on Physics
[7825],5156,"[2488, 2495, 2596]",1,9780440237686,en,4.13,"Giver, the"
"[7826, 7827, 7828]",5146,"[2577, 2607]",2,9781401907822,en,4.38,Incredible You! : 10 Ways To Let Your Greatness Shine Through
[8220],5493,"[768, 827, 3372, 2797, 2606, 2607]",2,9781843106517,en,4.32,All Dogs Have ADHD
[8221],1693,"[2488, 2491, 2496, 2497, 2599]",2,9780316537575,en,4.58,The Folk of the Air Complete Gift Set
[8223],5837,[2611],1,9781593697723,en,4.11,A Smart Girl's Guide to Knowing What to Say : Finding the Words to Fit Any Situation
[8224],5229,"[810, 3355, 2802, 2985, 2471, 2488, 2490, 2522, 2534, 2612]",1,9780689842443,en,4.15,The Tiny Seed
[329],2303,"[334, 341, 2622]",1,9780141025186,en,3.97,Extremely Loud and Incredibly Close
[2732],4768,"[2488, 2490, 2503, 2596, 2600, 2609]",1,9780688147327,en,4.31,Chrysanthemum
[9636],4587,"[2491, 2492, 2495, 2508, 2596]",1,9781405253543,en,4.03,Hunger
[631],6578,"[2452, 3385]",NA,9781593593148,en,NA,Beaded Bookmark Shoot for the Moon
[3116],2027,"[334, 336, 2617, 339, 2620, 374]",1,9780553815856,en,4.14,The Enemy : (Jack Reacher 8)
[13472],8104,"[1484, 1488, 1492, 1513, 1525, 1564, 1710, 1714, 1793, 1860, 2056, 2071]",2,9783030029395,en,5,"Linear Algebra, Signal Processing, and Wavelets - A Unified Approach : Python Version"
[4555],8504,"[339, 2620, 342]",2,9781982173616,en,NA,Billy Summers
[15854],3982,"[768, 835, 3380, 2596]",1,9781935274056,en,4.03,The New Social Story Book : Revised & Expanded 10th Anniversary Edition
[3116],1748,"[334, 336, 2617, 339, 2620]",1,9780553813302,en,4.01,Echo Burning : (Jack Reacher 5)
[13979],1708,"[336, 2617, 339, 2620]",1,9780804138338,en,3.93,Dark Places (Exp)
[17997],2862,"[2491, 2495, 2497, 2499, 2501, 2609]",1,9781405272247,en,4.2,Up The Faraway Tree
[18372],8653,"[334, 336, 2617, 339, 2620]",1,9781846975714,en,NA,For Any Other Truth : A DCI Daley Thriller (Book 9) - The new thriller from the No.1 bestseller
"[18600, 581]",6495,"[2452, 3385]",10,9780735359642,en,NA,London By Michael Storrings 1000 Piece Puzzle
"[7826, 15326, 7828]",3201,"[2607, 2611]",2,9781401911867,en,4.36,Unstoppable Me! : 10 Ways to Soar Through Life
[4555],1575,"[339, 2620, 350, 2624]",1,9780307743688,en,4.34,The Stand
"[55, 7828]",3081,[2607],2,9781401922085,en,4.3,"I Think, I Am!"
[20262],7823,"[334, 339, 2620]",1,9788416517268,es,4.12,Todos Somos Villanos
[2760],9814,"[339, 2620, 358, 2630, 363, 3168]",1,9780800729363,en,4.7,Active Defense
[4543],1546,"[336, 2617, 339, 2620]",2,9780857522313,en,3.93,The Girl on the Train
[3116],7001,"[334, 336, 2617, 339, 2620]",1,9780553813449,en,4.1,Persuader : (Jack Reacher 7)
[21712],4442,"[336, 2617, 339, 2620]",1,9781913942144,en,NA,The Quiet Truth
[10838],8028,"[334, 339, 2620]",1,9781982164096,en,3.89,The Truth about Melody Browne
[22206],8722,"[2488, 2491, 2495, 2607]",1,9780692164273,en,4.25,Remade
"[22456, 22457]",8642,"[2488, 2499, 2600]",2,9781945448171,en,4.34,What Does A Princess Really Look Like?
[22521],9719,"[2770, 2789, 2831, 2865]",2,9781611807493,en,4.53,"Living Ayurveda : Nourishing Body and Mind through Seasonal Recipes, Rituals, and Yoga"
[25430],1322,"[3, 69, 76, 2452, 3385]",6,9780789338488,en,NA,Bob Ross 2021 Wall Calendar
"[3578, 26083]",8763,"[334, 339, 2620, 343, 360, 2632, 362]",3,9781529048148,en,NA,"The Evening and the Morning : The Prequel to The Pillars of the Earth, A Kingsbridge Novel"
[5482],9818,"[640, 767, 770, 1349, 1521, 1530, 1903, 2075]",1,9780393339758,en,3.89,The Shallows : What the Internet Is Doing to Our Brains
[26887],9874,"[1477, 1520]",1,9781408809594,en,4.1,Alex's Adventures in Numberland : Dispatches from the Wonderful World of Mathematics
[3814],8639,"[340, 2621]",2,9781838774929,NA,NA,A Prince and a Spy
[29441],2862,[2452],12,9780913866689,en,NA,Original Wizard Card Game
"[2751, 29443]",5448,"[69, 2452, 3385]",6,9781631367120,en,5,Katie Daisy 2020-2021 Weekly Planner : 2020-21 On-The-Go Weekly Planner
[1058],2744,"[2452, 3385]",13,9781601066909,en,4.36,Knock Knock Why You`re My Bestie Fill in the Love Journal
[29625],9278,"[768, 989, 1028, 1530, 1902, 2802, 2804, 2813]",1,9780241341131,en,4.07,Digital Minimalism : Choosing a Focused Life in a Noisy World
[29626],8684,"[2654, 750, 767, 1349, 1532, 1602, 1648, 1650]",1,9780300188370,en,4.31,The Master and His Emissary : The Divided Brain and the Making of the Western World
[26447],9007,[1532],1,9781848549586,en,4.14,What If? : Serious Scientific Answers to Absurd Hypothetical Questions
"[8083, 14879, 9971]",8514,"[2526, 2612]",2,9781786030153,en,NA,10 Reasons to Love... a Bear
[4555],4433,"[339, 2620]",2,9781529365726,en,NA,Billy Summers
"[6233, 30922]",4001,"[334, 335, 339, 2620, 341, 2622, 342, 352, 2626]",1,9781846975769,en,4.19,1984 Nineteen Eighty-Four : New Edition of the Twentieth Century's Dystopian Masterpiece
